WL(nm),WV2 Pan,WV2 Coastal Blue,WV2 Blue,WV2 Green,WV2 Yellow,WV2 Red,WV2 RedEdge,WV2 NIR1,WV2 NIR2
595,823.03,0.0045,0.0086,1.1294,899.806,0.0013,0.0138,0,0.0006
597.5,829.794,0.0028,0.0092,0.5085,920.023,0.0091,0.0161,0,0.0002
600,838.869,0.001,0.0081,0.2229,932.634,0.0126,0.024,0.0002,0.0006
602.5,848.913,0.0017,0.0085,0.1072,940.181,0.0268,0.0344,0,0.0005
605,860.802,0.0013,0.009,0.0539,947.026,0.041,0.0375,0,0.0005
607.5,858.037,0.0014,0.0076,0.0257,952.441,0.0704,0.0398,0.0002,0.0006
610,858.462,0.0023,0.0081,0.0069,966.412,0.1229,0.0538,0,0.0012
612.5,865.197,0.0031,0.0091,0.0035,981.469,0.2687,0.0794,0.0001,0.0005
615,870.285,0.0061,0.0074,0.0017,989.723,0.6281,0.0884,0,0.0003
617.5,877.932,0.0116,0.0072,0.0003,992.706,1.6492,0.0759,0.0001,0.0002
620,889.278,0.0101,0.008,0.0018,1000,4.8674,0.0904,0,0.0005
622.5,896.475,0.0056,0.0061,0.0017,969.368,22.7608,0.1744,0,0.0006
625,909.253,0.0039,0.0055,0.0062,759.433,95.5659,0.1848,0,0.0006
627.5,913.08,0.0032,0.0061,0.0086,436.651,294.353,0.0517,0.0001,0.0011
630,917.885,0.0027,0.0042,0.0152,134.322,596.071,0.0088,0,0.0011
632.5,914.221,0.0031,0.0035,0.0161,30.8525,822.289,0.0045,0,0.0003
635,910.762,0.0025,0.0041,0.0257,7.3852,872.776,0.0027,0,0.0004
637.5,916.979,0.0026,0.0038,0.0325,2.2367,885.335,0.0015,0.0001,0.0005
640,924.89,0.0027,0.0028,0.0292,0.6906,927.928,0.0011,0,0.0001
642.5,936.83,0.0027,0.0038,0.027,0.2851,955.695,0.0007,0.0001,0.0006
645,950.791,0.0025,0.0038,0.0241,0.1576,965.042,0.0014,0.0001,0.0007
647.5,943.998,0.0021,0.0032,0.0141,0.0963,967.095,0.0028,0.0004,0.0008
650,936.911,0.0022,0.0042,0.0002,0.0443,965.588,0.005,0.0005,0.0012
652.5,932.311,0.0018,0.0054,0.0001,0.0231,957.776,0.0064,0.0005,0.0019
655,929.417,0.0017,0.0057,0.0002,0.0129,955.5,0.0081,0.0006,0.0024
657.5,938.274,0.0018,0.0057,0.0002,0.0075,952.831,0.0106,0.0005,0.001
660,951.232,0.0018,0.01,0.0003,0.005,955.801,0.0116,0.0007,0.0005
662.5,960.012,0.0021,0.0162,0.0005,0.0033,965.253,0.0115,0.0007,0.0015
665,962.781,0.0024,0.0175,0.0007,0.0022,970.358,0.0118,0.001,0.0005
667.5,957.501,0.003,0.0215,0.0008,0.0014,976.493,0.0105,0.0008,0
670,953.865,0.0044,0.0359,0.001,0.0008,987.526,0.0113,0.0011,0.0003
672.5,954.752,0.0093,0.0457,0.0008,0.001,996.575,0.0084,0.0008,0.0002
675,957.376,0.0172,0.0343,0.0006,0.0008,999.085,0.0082,0.0009,0.0003
