wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
782.94,3.5835103e-06,2.133884e-06,7.106948e-08,2.6479292e-08,1.6544118e-07,4.8185905e-07,0.047215156,4.2326235e-08
787.62,1.0937229e-05,2.5690133e-06,5.136728e-08,7.493614e-08,4.1765833e-08,9.212495e-07,0.04653406,3.7665966e-08
792.31,2.4361063e-05,4.360811e-06,5.082351e-08,4.8836053e-08,6.018229e-08,1.1165172e-06,0.045436013,4.761862e-06
796.99,7.123288e-06,3.923775e-06,7.9808544e-08,7.518764e-08,6.467306e-08,6.386854e-07,0.044220984,2.3087998e-05
801.68,1.2242954e-05,4.802886e-06,1.6343809e-07,2.2295417e-06,1.1416699e-06,2.9686865e-08,0.043208312,4.6956728e-05
806.36,1.8285937e-05,6.0329003e-06,3.2272332e-08,2.5763823e-06,1.2284464e-06,3.5685567e-08,0.04209961,4.9558843e-05
811.05,1.4237027e-05,7.646148e-06,0.0,1.5003512e-06,9.2178107e-07,2.8323381e-08,0.04109944,5.062118e-05
815.73,8.7347735e-06,8.040026e-06,0.0,2.4297592e-06,8.04692e-07,2.3790376e-08,0.03982623,5.1920037e-05
820.42,7.060782e-06,4.78593e-06,0.0,2.3251762e-06,7.292836e-07,2.2896655e-08,0.03970629,5.141355e-05
825.1,7.093246e-06,4.4012445e-06,8.752203e-11,2.2898835e-06,6.3877786e-07,1.2006283e-08,0.03956476,4.900596e-05
829.79,6.9246803e-06,4.8107477e-06,3.7369693e-07,1.1695039e-06,8.724206e-07,2.4054415e-08,0.039931677,5.3070988e-05
834.48,6.1768724e-06,5.489842e-06,1.6693062e-07,1.3689446e-06,5.4888864e-07,2.3790376e-08,0.03882658,5.4228018e-05
839.16,4.9742266e-06,5.8419946e-06,2.43001e-08,1.4775682e-06,5.105351e-07,2.9433359e-08,0.038315676,6.215735e-05
843.85,3.17082e-06,6.276739e-06,4.7786138e-08,1.2407827e-06,6.175656e-07,2.9026332e-08,0.038049012,6.4271495e-05
848.53,3.31024e-06,6.714986e-06,1.3796968e-08,1.8167229e-06,4.1112904e-07,4.7581374e-08,0.036688942,0.00013393215
853.22,2.7761769e-06,4.490767e-06,3.0080489e-07,1.2159164e-06,5.276028e-07,3.8139454e-08,0.035309963,0.00066409755
857.9,3.1292368e-06,3.2230828e-06,3.0910832e-07,1.0876145e-06,5.2304097e-07,1.00509965e-07,0.034967568,0.006101432
862.59,2.4965584e-06,2.2603838e-06,1.4386487e-08,8.4161326e-07,5.8596487e-07,4.7696597e-07,0.03367776,0.027294545
867.27,1.6615279e-06,1.8878503e-06,1.2365335e-07,7.960289e-07,8.801031e-07,1.3250715e-06,0.032302245,0.04442601
871.96,1.6714323e-06,1.9848253e-06,1.2292796e-07,7.078758e-07,6.3349796e-07,1.0210116e-06,0.030871255,0.046610672
876.64,1.6692715e-06,2.872066e-06,2.6853675e-08,6.8160665e-07,3.4210723e-07,5.1799253e-07,0.029544454,0.046941694
881.33,1.8757069e-06,2.8479694e-06,7.80877e-07,3.7543288e-07,5.9500394e-07,1.1247776e-06,0.028579703,0.04658267
886.01,1.5144452e-06,2.518541e-06,7.7882686e-07,4.1218922e-07,5.675614e-07,8.9006016e-07,0.027638732,0.045332104
890.7,9.692699e-07,1.8667655e-06,6.6333996e-07,4.0635084e-07,3.4353587e-07,1.1375345e-06,0.022857254,0.043718934
895.38,9.4564086e-07,1.6287897e-06,5.61063e-07,4.0353697e-07,3.9255409e-07,1.89415e-06,0.01214094,0.04275636
900.07,1.8774682e-06,1.599244e-06,5.7348046e-07,4.8937034e-07,4.6598197e-07,2.0703535e-06,0.0034259784,0.041986924
904.76,1.686511e-06,1.5572277e-06,4.5174306e-07,4.915897e-07,3.4444233e-07,2.1675269e-06,0.00071050704,0.040725745
909.44,1.4600801e-06,1.547254e-06,4.4129013e-07,4.292046e-07,3.357837e-07,2.151852e-06,0.0001414267,0.039671298
914.13,9.982746e-07,1.6024404e-06,4.7585053e-07,3.264168e-07,2.8585845e-07,2.0080429e-06,6.864832e-05,0.038310442
918.81,6.6880636e-07,1.4242822e-06,4.9109315e-07,2.565233e-07,2.6979515e-07,1.6222891e-06,4.5321525e-05,0.036855567
923.5,4.2765748e-07,1.2445942e-06,4.3679364e-07,2.1744268e-07,2.5794557e-07,1.1090627e-06,4.0679904e-05,0.035513967
928.18,3.7833908e-07,1.1490926e-06,4.0180348e-07,2.0735274e-07,2.0641076e-07,6.756881e-07,3.4965236e-05,0.033910863
932.87,3.2227982e-07,1.1264196e-06,3.5625405e-07,1.7469563e-07,2.1413685e-07,4.522772e-07,3.6912228e-05,0.032239135
937.55,2.9725732e-07,9.406182e-07,2.6763155e-07,1.6282182e-07,1.3884915e-07,2.9600523e-07,3.0984007e-05,0.030109193
942.24,3.334798e-07,8.626369e-07,2.6042142e-07,9.882543e-08,1.319477e-07,1.928367e-07,2.6765116e-05,0.028165422
946.92,4.0927364e-07,6.999975e-07,1.9833232e-07,1.127844e-07,9.1263054e-08,1.3916332e-07,1.3091183e-05,0.026197787
951.61,4.6145468e-07,5.4300926e-07,1.5911057e-07,1.0025018e-07,8.6410594e-08,1.1895189e-07,1.6212479e-07,0.02437578
956.29,5.719636e-07,5.737143e-07,1.9902886e-07,1.127844e-07,9.333982e-08,8.7013774e-08,1.1945016e-07,0.022747826
960.98,5.6878787e-07,6.831796e-07,1.6369346e-07,9.2255654e-08,8.529647e-08,8.7060684e-08,8.6647695e-08,0.021049682
965.66,5.1962274e-07,9.4081975e-07,1.441242e-07,1.06077145e-07,6.276567e-08,7.9169865e-08,5.018923e-08,0.019627241
970.35,4.2867845e-07,1.1890694e-06,1.3370334e-07,1.1144695e-07,5.7172425e-08,7.137206e-08,5.1582994e-08,0.018235656
975.03,3.666296e-07,1.3127232e-06,1.1161063e-07,8.772365e-08,6.533641e-08,8.3262286e-08,4.2613237e-08,0.01708811
979.72,3.8752816e-07,1.1232069e-06,9.016101e-08,1.1260479e-07,5.7232757e-08,8.2940524e-08,3.318177e-08,0.015912153
984.41,4.393263e-07,8.5125265e-07,1.0417127e-07,1.171834e-07,4.9005582e-08,4.7581988e-08,3.3147224e-08,0.015026048
989.09,5.024528e-07,5.839667e-07,9.199804e-08,1.8404621e-07,4.3296563e-08,5.4743463e-08,2.321749e-08,0.014061277
993.78,4.375631e-07,4.6578884e-07,8.9555414e-08,2.1552032e-07,4.083692e-08,5.9475944e-08,3.1633856e-08,0.013006703
998.46,3.3455277e-07,4.5489307e-07,9.1832426e-08,2.1490254e-07,4.6317343e-08,5.9477493e-08,2.2701267e-08,0.012078685
1003.15,2.507226e-07,4.6563218e-07,9.889162e-08,1.7011077e-07,4.7634966e-08,4.7580752e-08,2.3675973e-08,0.011352756
1007.83,2.2836969e-07,4.0568887e-07,1.1905288e-07,1.1908362e-07,3.9669768e-08,4.7581988e-08,2.322506e-08,0.0106486445
