wavelength_nm,Coastal_Blue,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
703.39,1.116594e-06,8.8989185e-07,8.829798e-08,8.512448e-08,5.7911744e-05,0.058273893,2.0764665e-07,9.123037e-09
708.55,8.546741e-07,7.647997e-07,7.995216e-08,1.0343647e-07,1.3652937e-05,0.11891253,3.1562902e-07,2.3799197e-08
713.71,1.1435094e-06,8.865667e-07,7.661968e-08,1.4121952e-07,3.5972203e-06,0.12905288,2.1074347e-07,3.7382033e-08
718.87,7.769846e-06,1.226842e-06,9.000279e-08,1.421584e-07,1.3155156e-06,0.12985185,2.4516066e-07,4.801543e-08
724.02,6.044233e-06,1.2649261e-06,8.460679e-08,1.8846427e-07,1.2988689e-06,0.13093996,3.2909955e-07,4.608397e-08
729.18,2.9462979e-06,2.7605251e-06,8.197258e-08,1.7019583e-07,1.2231517e-06,0.12950449,7.407515e-07,3.9560685e-08
734.34,6.4043984e-06,2.976027e-06,6.975378e-08,1.7505863e-07,1.0099286e-06,0.12830082,2.0460684e-06,4.469522e-08
739.5,4.3420398e-05,4.0568075e-06,7.802424e-08,1.4515572e-07,2.9548556e-07,0.11429622,5.0925737e-06,3.4784513e-08
744.65,8.371344e-06,6.1968426e-06,6.720116e-08,1.5053674e-07,1.4528264e-07,0.0515941,1.2547407e-05,5.320097e-08
749.81,6.0554034e-06,3.9598376e-06,8.930622e-08,1.3975101e-07,1.0975348e-07,0.0044646882,3.559244e-05,6.390779e-08
754.97,7.7497636e-05,4.8406905e-06,9.022524e-08,1.244866e-07,5.350573e-08,0.0002865428,0.00014934332,4.281689e-08
760.13,9.178241e-06,6.123677e-06,9.0422354e-08,1.1066224e-07,2.7759123e-07,3.383642e-05,0.00068751647,4.2639105e-08
765.28,1.3363141e-06,3.282118e-06,1.13979056e-07,1.1055271e-07,8.455397e-07,6.644494e-06,0.0033278584,4.7547147e-08
770.44,6.5057105e-07,3.1299921e-06,1.5734777e-07,7.965738e-08,6.172874e-07,1.1651546e-06,0.015400908,2.9329689e-08
775.6,8.293236e-07,4.1819294e-06,3.1680793e-07,7.056471e-08,5.6811785e-07,6.2453694e-07,0.042360105,4.8293053e-08
780.76,2.4781339e-06,2.646058e-06,1.01346174e-07,8.1459106e-08,4.3422799e-07,5.545604e-07,0.051965225,3.6726927e-08
785.91,7.5003895e-06,2.414786e-06,6.249124e-08,6.766606e-08,9.65959e-08,7.896174e-07,0.051445916,4.6410044e-08
791.07,2.6825797e-05,4.361829e-06,3.6063945e-08,4.4998245e-08,1.4628388e-07,1.1591692e-06,0.05047379,1.4899674e-06
796.23,9.20353e-06,4.5846623e-06,7.906987e-08,8.299504e-08,6.0494266e-08,7.5288983e-07,0.04886838,2.5585976e-05
801.39,1.3427983e-05,5.3676386e-06,1.5822917e-07,2.6287457e-06,1.2511982e-06,2.8389175e-08,0.047632508,5.147296e-05
806.54,2.0413747e-05,6.773904e-06,3.155431e-08,2.8678135e-06,1.3754036e-06,3.9296797e-08,0.046291273,5.6990113e-05
811.7,1.418783e-05,8.64001e-06,0.0,1.7750584e-06,1.0734542e-06,3.616642e-08,0.045196775,5.791051e-05
816.86,8.966221e-06,8.126671e-06,0.0,2.7538085e-06,7.2692217e-07,2.6222986e-08,0.04369214,6.0114533e-05
822.02,6.8890254e-06,4.867117e-06,0.0,1.4900374e-06,8.062804e-07,1.4361878e-08,0.043843582,5.818168e-05
827.17,7.5473854e-06,4.1148924e-06,3.8136115e-08,1.6797075e-06,3.9850406e-07,3.804777e-08,0.04347488,6.058522e-05
832.33,7.855642e-06,6.0939465e-06,3.5129307e-07,1.8597179e-06,4.1120597e-07,2.6223297e-08,0.043400966,6.248261e-05
837.49,5.166197e-06,6.1367987e-06,4.1065753e-08,1.5627136e-06,5.8328334e-07,1.3112122e-08,0.042628568,6.439127e-05
842.65,4.149408e-06,6.304388e-06,3.376187e-08,1.0559919e-06,5.772064e-07,3.916048e-08,0.042263508,6.941735e-05
